Año,Ubicación,Cocaína (kg),Marihuana (kg),Sustancias Químicas Sólidas (kg),Sustancias Químicas Líquidas (L),Latitud,Longitud,País,Base de Coca (kg),Armas Incautadas,Laboratorios Destruidos,CASOS_x,HEROAINA_(KG),TOTAL_DROGAS_KG.,Intervenciones
2022,Santa Cruz,8.26,2.51,29.6,267.7,-17.7892,-63.1975,Bolivia,,,,,,,
2022,Beni,4.48,1.73,11.0,59.3,-14.8354,-65.3488,Bolivia,,,,,,,
2022,Cochabamba,3.24,143.16,635.0,88.6,-17.3935,-66.157,Bolivia,,,,,,,
2022,La Paz,1.72,5.42,54.1,49.5,-16.5,-68.15,Bolivia,,,,,,,
2022,Oruro,1.13,3.03,0.7,1.4,-17.9647,-67.1065,Bolivia,,,,,,,
2022,Potosí,0.73,1.92,0.0,5.8,-19.5836,-65.7531,Bolivia,,,,,,,
2022,Tarija,0.68,0.74,15.0,39.3,-21.5355,-64.7296,Bolivia,,,,,,,
2022,Pando,0.06,0.06,0.0,0.0,-11.0264,-67.7404,Bolivia,,,,,,,
2022,Chuquisaca,0.03,32.16,0.0,0.0,-19.0478,-65.2592,Bolivia,,,,,,,
2019,AMAZONAS,13579.828,,,,-1.2019,-70.0022,Colombia,0.0,56.0,,,,,
2020,AMAZONAS,15621.43,,,,-1.2019,-70.0022,Colombia,0.0,22.0,,,,,
2021,AMAZONAS,11079.036,,,,-1.2019,-70.0022,Colombia,0.0,32.0,,,,,
2022,AMAZONAS,9025.093,,,,-1.2019,-70.0022,Colombia,557.431,46.0,,,,,
2023,AMAZONAS,16806.508,,,,-1.2019,-70.0022,Colombia,17.539,88.0,,,,,
2024,AMAZONAS,10110.808,,,,-1.2019,-70.0022,Colombia,43.89013,11.0,,,,,
2019,ANTIOQUIA,1405899.144,,,,7.1986,-75.3412,Colombia,0.0,4548.0,,,,,
2020,ANTIOQUIA,2250388.698,,,,7.1986,-75.3412,Colombia,0.0,3426.0,,,,,
2021,ANTIOQUIA,1230659.168,,,,7.1986,-75.3412,Colombia,0.0,3418.0,,,,,
2022,ANTIOQUIA,1260401.675,,,,7.1986,-75.3412,Colombia,2160.80227,3104.0,,,,,
2023,ANTIOQUIA,1889065.822,,,,7.1986,-75.3412,Colombia,4216.97553,5496.0,,,,,
